,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,wpeakf,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope,inv_slope,g,i,workres
0,20190808-1-scan-80,20190808,mp1,1,scan-80,3,40,0.74,0.04,346,5.7,50,27.66,1.848637363,-80.01691792,-80.01472152,140.8360883,657.8,383.0153866,649.805,463.813563,749.205,399.678124,-43.28426955,0.691018882,3.696340072,7.995,19.17271924,4731,310.4186422,286.8037566,0.884,1.131221719,3.00E-11,-2.400441646,2.715431726
1,20190808-3-scan-80,20190808,mp1,3,scan-80,4,40,0.74,0.04,330,7.6,50,20.44,2.259951552,-80.01927735,-80.0175188,547.7027634,655.24,264.4374608,650.085,351.967517,747.645,322.0369962,-35.40751893,0.816264757,3.536284755,5.155,18.49768853,4487,163.790213,174.5225043,6.132,0.16307893,3.00E-11,-2.400525564,0.391475141
2,20190815-1-scan-80,20190815,mp1,1,scan-80,10,40,0.9,0.05,320,5.698,60,22.03,1.299737669,-80.02815359,-80.02547123,86.92371392,661.64,386.9970024,650.365,386.4279565,742.685,349.6059652,-61.57254308,-0.9591538,2.656390589,11.275,14.24110675,4963,376.4737154,332.7812022,0.365,2.739726027,3.00E-11,-2.400764137,6.577435992
3,20190815-2-scan-80,20190815,mp1,2,scan-80,6,40,0.9,0.05,321,5.5,40,36.3,0.291107851,-80.02405878,-80.02314094,1582.745825,663.68,424.7347508,650.365,388.6885738,741.365,346.2613821,-274.8948835,-1.931370543,5.093907714,13.315,27.40090911,4827,350.4220462,271.2318509,6.841,0.146177459,3.00E-11,-2.400694228,0.350927383
4,20190815-3-scan-80,20190815,mp1,3,scan-80,8,40,0.97,0.05,0,6.4,50,25.14,1.256248006,-80.02543204,-80.02431983,1154.142332,666.92,465.6723592,650.325,379.370352,745.725,337.1734206,-63.70193757,-0.435234466,4.602487075,16.595,23.44766984,4828,372.8213818,263.5559048,5.61,0.178253119,3.00E-11,-2.400729595,0.427937539
5,20190820-4-scan-80,20190820,mp1,4,scan-80,6,40,0.86,0.05,317,7.2,50,21.72,0.844094125,-80.01827863,-80.01738644,151.1334881,656.8,182.2795038,649.805,257.38567,750.085,245.4269108,-94.79781496,2.453720358,7.007322179,6.995,37.49033125,4897,168.0947423,220.3717241,1.174,0.851788756,3.00E-11,-2.400521593,2.044737303
6,20191126-2-scan-80,20191126,mp1,2,scan-80,19,40,0.74,0.04,345,6.742,5,22.8,1.992069731,-80.01077572,-80.00873471,121.3312816,659.04,389.0485733,650.485,254.1443177,737.005,225.9574953,-40.16464608,0.225804944,2.60811857,8.555,13.26639779,4609,199.3658036,122.2293726,0.755,1.324503311,3.00E-11,-2.400262041,3.179155022
7,20191206-1-scan-80,20191206,mp1,1,scan-80,18,40,0.58,0.03,342,5.982,60,25.14,1.970677684,-80.00032652,-79.9976028,275.2716891,661.32,425.8600388,650.485,377.2688125,748.765,347.9360462,-40.59533793,-2.64427934,4.292871284,10.835,24.10863576,4785,356.3278265,261.5395364,1.231,0.812347685,3.00E-11,-2.399928084,1.949576023
8,20191206-3-scan-80,20191206,mp1,3,scan-80,10,40,0.58,0.03,326,4.923,55,20.29,7.568390428,-79.99811685,-79.99695597,960.3429863,663.24,261.6244174,650.205,229.1007312,744.645,196.5480806,-10.57003039,-0.996974142,3.829026929,13.035,20.14210879,4763,191.4771087,139.1434833,8.548,0.11698643,3.00E-11,-2.399908679,0.280756748
9,20191213-1-scan-80,20191213,mp1,1,scan-80,1,40,0.63,0.04,327,8.24,40,20.1,0.951020459,-80.00564482,-80.00285033,536.483239,657.52,236.7239787,649.845,228.8051842,741.685,203.947635,-84.12610271,14.4498518,5.266282142,7.675,40.78126251,4869,199.4058139,172.4818081,6.402,0.156201187,3.00E-11,-2.40008551,0.374896206
