uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,leak,offset,stdev,seal,delay,thresh,threshind,fthresh,wthresh
20200227-1-scan-80,20200227,mp1,1,scan-80,11,40,0.63,0.04,328,8.849,40,28.52,0.167226499,-80.00664351,-80.00527733,406.8573654,906.76,291.073248,900.205,307.9717787,1000.085,-478.4328091,0.022958327,11.74408872,0.167226499,6.555,58.74340195,5983,212.3527995,189.905961
20200227-5-scan-80,20200227,mp1,5,scan-80,1,40,0.63,0.04,324,7.369,50,26.46,1.601302698,-79.99859127,-79.99817356,3036.682499,907.28,349.2762647,900.605,405.5971191,998.005,-49.95844406,1.023202039,5.450079323,1.601302698,6.675,28.27359866,5789,216.8490657,205.6844354
20200227-6-scan-80,20200227,mp1,6,scan-80,8,40,0.63,0.04,328,10.67,55,15.18,8.287000608,-79.99665621,-79.99548027,2034.482702,906.44,322.7309988,900.205,352.2920136,998.485,-9.653270223,-0.166076543,3.800382136,8.287000608,6.235,19.16798722,5587,148.8553444,130.6020711
20200227-7-scan-80,20200227,mp1,7,scan-80,8,40,0.63,0.04,320,7.155,55,18.55,3.350568021,-80.0004139,-79.998517,1136.594048,904.52,400.1283232,900.245,450.5884358,995.605,-23.87667207,1.772263348,3.895096435,3.350568021,4.275,21.24774552,5813,266.5063081,218.2214059
20200303-6-scan-80,20200303,mp1,6,scan-80,8,40,0.74,0.05,319,8.403,55,23.14,2.352342316,-80.00231151,-80.00118531,464.915263,906.08,531.8414758,900.405,549.1814077,998.205,-34.00963839,-3.49286328,4.442890987,2.352342316,5.675,25.70731821,6044,443.0319811,364.9350693
20200303-8-scan-80,20200303,mp1,8,scan-80,1,40,0.74,0.05,321,6.525,55,15.83,0.694874403,-80.01581936,-80.01419391,635.7045591,908.2,465.2533384,900.325,356.3015295,1000.085,-115.1514849,-0.968589001,6.57885276,0.694874403,7.875,33.8628528,6065,357.1062044,234.9005698
20200303-9-scan-80,20200303,mp1,9,scan-80,16,40,0.74,0.05,320,7.813,50,24.1,1.505094926,-80.01354715,-80.01229569,38.39839549,940.48,596.8240553,900.325,440.269337,1088.405,-53.1617945,1.962545756,5.393169369,1.505094926,40.155,28.9283926,7258,538.1776241,414.9098761
20200227-3-scan-80,20200227,mp1flna,3,scan-80,5,40,0.63,0.04,318,5.922,55,24,0.423801443,-80.00051379,-79.99913725,1074.136813,905.88,219.8779102,899.885,274.623856,998.365,-188.7688563,1.223824595,6.521527685,0.423801443,5.995,33.83146302,5902,150.6946185,169.2226324
20200227-4-scan-80,20200227,mp1flna,4,scan-80,11,40,0.63,0.04,324,8.299,55,32.36,1.003160394,-79.99754263,-79.99685607,42.37640831,977.36,354.6919219,900.765,451.6684175,992.845,-79.74551539,-3.839207854,6.867112661,1.003160394,76.595,38.17477116,8181,240.3145822,447.8844243
20200303-3-scan-80,20200303,mp1flna,3,scan-80,8,40,0.74,0.05,317,10.82,45,25.6,4.10715488,-80.00826642,-80.00638462,967.0574129,906.28,323.015194,900.285,386.1869146,1000.005,-19.48021654,-1.934960897,3.868121457,4.10715488,5.995,21.27556818,5894,222.3867262,216.0813237
20200303-4-scan-80,20200303,mp1flna,4,scan-80,11,40,0.74,0.05,317,9.054,40,29.04,0.60490129,-80.0032228,-80.00193252,1281.26854,905.24,445.9087145,900.165,443.3462057,999.605,-132.2583108,-0.500732215,6.090703741,0.60490129,5.075,30.95425092,5944,317.4377308,252.7539632
20200303-5-scan-80,20200303,mp1flna,5,scan-80,1,40,0.74,0.05,319,7.428,45,24.31,2.973985353,-80.00354748,-80.00226557,5065.314414,905.84,562.5431959,900.365,514.8129906,998.685,-26.90112357,-0.006921067,3.926523417,2.973985353,5.475,19.63953815,5586,247.0562812,157.1440981
20200203-1-scan-80,20200203,mp2,1,scan-80,7,40,0.65,0.04,327,6.659,55,10.19,2.470569854,-80.00830387,-80.00724616,273.7952216,650.52,152.6323174,650.445,183.1555246,744.805,-32.38455441,-0.678460974,2.91652487,2.470569854,0.075,15.26108532,4081,49.03902824,48.68409881
20200203-4-scan-80,20200203,mp2,4,scan-80,4,40,0.65,0.04,329,5.358,55,17.16,1.829308149,-80.00886566,-80.00822018,336.6281788,651.32,91.17965993,649.885,92.13334101,746.485,-43.73722695,0.291679628,3.806624072,1.829308149,1.435,19.32479999,4608,48.6938545,50.04500561
20200205-1-scan-80,20200205,mp2,1,scan-80,9,40,0.72,0.04,322,9.27,45,21.39,0.789860214,-80.01422128,-80.01159013,238.3771747,899.44,251.8262317,899.805,327.7981528,998.845,-101.3017492,6.724247595,3.898055016,0.789860214,-0.365,26.21452267,5324,84.10624313,86.14651741
20200205-2-scan-80,20200205,mp2,2,scan-80,4,40,0.72,0.04,320,4.715,60,17.94,0.861263286,-80.01365956,-80.01263496,37.46904261,904.72,531.1086032,900.725,439.185812,987.925,-92.90267079,-2.340281673,7.047513016,0.861263286,3.995,37.57784675,0,,
20200212-1-scan-80,20200212,mp2,1,scan-80,1,40,0.66,0.04,0,5.668,55,22.33,1.915916385,-80.0112875,-80.00980221,321.5419648,901.6,261.6773057,900.085,276.583975,992.405,-41.76136711,0.45335584,4.289859778,1.915916385,1.515,21.90265473,5241,63.58218953,67.21368796
20200212-2-scan-80,20200212,mp2,2,scan-80,1,40,0.66,0.04,0,10.97,50,30.4,0.657115781,-80.01222384,-80.0105453,268.2899079,903,411.2342739,900.205,555.231971,993.365,-121.7627489,-2.151043536,5.958766582,0.657115781,2.795,31.94487645,5557,220.9618954,233.1194264
20200212-3-scan-80,20200212,mp2,3,scan-80,1,40,0.66,0.04,0,9.594,35,23.73,1.402520122,-80.00576958,-80.00382662,506.8790033,903.76,415.0906555,900.085,420.0078338,986.605,-57.04429358,0.119319798,3.477728109,1.402520122,3.675,17.50796034,5187,92.25737474,99.81593417
20200214-1-scan-80,20200214,mp2,1,scan-80,1,40,0.67,0.04,0,9.613,55,23.04,0.857380242,-80.01082563,-80.00980013,161.7359413,901.04,157.4081519,900.205,153.1033945,989.925,-93.32011831,7.758126762,6.596316755,0.857380242,0.835,40.73971054,6063,121.0608701,108.3961654
20200214-2-scan-80,20200214,mp2,2,scan-80,4,40,0.67,0.04,0,5.383,60,18.9,2.344549029,-80.01333498,-80.01014356,1292.901654,900.4,159.5173867,900.765,194.0316086,996.645,-34.12738825,2.052107804,4.761869367,2.344549029,-0.365,25.86145464,5099,28.11094516,37.46597649
20200217-1-scan-80,20200217,mp2,1,scan-80,2,40,0.67,0.04,0,9.857,50,26.15,0.974068317,-80.01839099,-80.01701417,51.66048681,896.12,318.0941037,900.725,342.7427009,999.485,-82.14864359,-1.014477553,6.07969167,0.974068317,-4.605,31.4129359,6137,286.8441061,262.1640771
20200217-2-scan-80,20200217,mp2,2,scan-80,3,40,0.67,0.04,0,8.799,50,21.14,0.349954939,-80.01256099,-80.01115511,411.4721014,902.2,268.8964262,899.805,435.0014336,1237.845,-228.6367534,-1.263975217,9.426008173,0.349954939,2.395,48.39401608,5516,93.70477475,100.3029521
20200218-1-scan-80,20200218,mp2,1,scan-80,8,40,0.95,0.05,322,7.548,55,22.52,4.807565828,-79.98864132,-79.98715882,555.7849783,901.16,182.3738779,899.805,217.8879016,993.005,-16.63807511,0.583124187,4.362400423,4.807565828,1.355,22.3951263,5324,55.19277447,58.82309864
20200218-3-scan-80,20200218,mp2,3,scan-80,1,40,0.95,0.05,324,7.199,45,26.28,0.460493281,-80.00706793,-80.00465499,243.2474024,909.56,807.3911793,900.645,788.7310216,1248.805,-173.7420961,0.735366828,5.32326569,0.460493281,8.915,27.35169528,5439,270.5467126,223.3657383
20200219-1-scan-80,20200219,mp2,1,scan-80,11,40,0.89,0.05,324,11.98,40,27.32,1.845785952,-79.99045149,-79.99000618,539.3360017,901,203.1915309,899.805,309.4247475,998.005,-43.33679721,3.236988908,3.278949517,1.845785952,1.195,19.63173649,4973,58.30091891,59.17780786
20200219-2-scan-80,20200219,mp2,2,scan-80,5,40,0.89,0.05,320,10,35,19.09,4.096441188,-80.00173726,-80.00107293,1401.997103,900.76,245.8804901,899.805,271.8173885,993.645,-19.52957057,4.44007293,3.854446594,4.096441188,0.955,23.7123059,5569,93.27405983,91.27181786
20200212-4-scan-80,20200212,mp2flna,4,scan-80,3,40,0.66,0.04,0,6.435,50,24.91,2.945336863,-80.00278589,-80.00021959,134.0834084,900.64,368.4788744,900.085,232.2756479,994.765,-27.16252491,-0.677350744,4.644335628,2.945336863,0.555,23.89902888,5721,128.4491655,84.81105047
20200212-5-scan-80,20200212,mp2flna,5,scan-80,6,40,0.66,0.04,0,9.002,60,24.97,2.386677373,-80.00714285,-80.00497967,400.2166769,900.32,218.7905451,900.285,206.5298027,993.725,-33.52239551,-3.7429019,4.611452662,2.386677373,0.035,26.80016521,5636,83.13372566,75.40118452
20200212-6-scan-80,20200212,mp2flna,6,scan-80,4,40,0.66,0.04,0,8.388,50,14.77,1.711404661,-80.00760484,-80.00562492,593.4841949,900.6,49.06794943,900.165,74.46379597,999.525,-46.74967099,1.447905425,4.148171817,1.711404661,0.435,22.18876451,5567,21.92397247,37.94339433
20200214-4-scan-80,20200214,mp2flna,4,scan-80,3,40,0.67,0.04,0,6.684,50,13.9,1.027251893,-80.00420902,-80.00328754,1817.382829,901.48,59.36521593,899.805,67.477746,991.205,-77.88178302,1.091852533,3.569083446,1.027251893,1.675,18.93726976,5895,30.26233125,44.22819408
20200214-6-scan-80,20200214,mp2flna,6,scan-80,2,40,0.67,0.04,0,5.826,50,17.24,0.977798529,-80.00514538,-80.00397021,282.3566188,901.48,46.98994181,899.965,60.00010272,994.445,-81.82170762,11.40232015,8.769916241,0.977798529,1.515,55.25190135,6169,39.64782287,53.94824917
20200217-3-scan-80,20200217,mp2flna,3,scan-80,5,40,0.67,0.04,0,4.955,60,28.97,0.631296653,-80.01249853,-80.01032673,326.3079629,901.28,382.7558242,900.085,270.6362477,998.605,-126.743106,5.242772093,6.731762491,0.631296653,1.195,38.90158455,5805,161.9482125,111.8744687
20200217-5-scan-80,20200217,mp2flna,5,scan-80,10,40,0.67,0.04,0,5.51,60,17.6,1.443654026,-80.01063846,-80.00872824,423.7531133,898.88,181.2351751,899.805,156.604928,997.725,-55.42230828,0.070686162,4.345700562,1.443654026,-0.925,21.79918897,5548,48.38593626,46.43680495
20200218-4-scan-80,20200218,mp2flna,4,scan-80,12,40,0.95,0.05,324,5.089,55,26.72,4.219442811,-80.010601,-80.00844931,24.03655517,829.72,631.7513111,900.605,627.09862,1249.045,-18.96236176,-0.404206293,4.595708859,4.219442811,-70.885,23.38275059,4492,46.10394008,50.41839453
20200218-5-scan-80,20200218,mp2flna,5,scan-80,5,40,0.95,0.05,333,8.24,40,18.61,0.999061078,-80.01492039,-80.01437501,650.0164675,901.52,159.0617249,899.805,207.3857693,997.725,-80.09011879,0.145141902,3.303586567,0.999061078,1.715,16.66307474,5620,80.85898079,88.82254778
20200218-6-scan-80,20200218,mp2flna,6,scan-80,7,40,0.95,0.05,333,13.43,30,20.94,0.602755277,-80.01535741,-80.01214165,668.4804776,901.4,251.4057066,900.085,219.2481539,996.725,-132.7493271,-0.200808215,7.054339409,0.602755277,1.315,35.47250526,5784,115.9615942,94.72318109
20200212-7-scan-80,20200212,flna,7,scan-80,8,40,0.66,0.04,0,6.435,60,20.51,10.53192149,-80.01095057,-80.30476628,38.65184003,2150.16,314.7785327,900.365,324.520595,992.205,-7.596994588,-0.098255045,4.499912741,10.53192149,1249.795,22.59781875,37503,-0.798991845,256.1874419
20200212-8-scan-80,20200212,flna,8,scan-80,3,40,0.66,0.04,0,5.826,55,37.03,2.227096486,-80.0174547,-80.31147349,244.8138817,2100.2,535.4425767,900.085,530.9396879,997.605,-35.92904718,0.748928993,5.793282018,2.227096486,1200.115,29.71533908,36252,-0.142372076,422.1867673
20200212-9-scan-80,20200212,flna,9,scan-80,9,40,0.66,0.04,0,7.672,50,28.59,0.162350801,-80.01625617,-80.3091359,214.8093952,2150.24,496.1582157,900.965,427.3493426,998.405,-492.8602499,1.876425383,5.476678407,0.162350801,1249.275,29.25981742,37502,-0.219038644,327.6168335
20200214-7-scan-80,20200214,flna,7,scan-80,7,40,0.67,0.04,0,14.41,40,31,0.46523719,-80.01186176,-80.30566253,196.6348984,933.16,436.3686814,900.245,429.1292524,999.925,-171.9807951,2.628799942,6.673338863,0.46523719,32.915,35.99549426,6156,398.9778475,313.9332132
20200214-8-scan-80,20200214,flna,8,scan-80,19,40,0.67,0.04,0,6.781,60,25.6,2.544105923,-80.01423375,-80.30702822,102.9490227,2100.24,348.8967751,899.965,564.1220865,2250.085,-31.45082641,0.3451458,4.794252119,2.544105923,1200.275,24.31640639,36253,-2.249281776,564.1163373
20200217-6-scan-80,20200217,flna,6,scan-80,8,40,0.67,0.04,0,7.487,50,14.71,7.204359035,-80.01018903,-80.30414624,183.5142952,966.44,587.1205224,900.645,431.9154281,994.285,-11.10580256,-0.112090071,3.292164091,7.204359035,65.795,16.57291053,5935,434.9252719,200.8030162
20200218-8-scan-80,20200218,flna,8,scan-80,17,40,0.95,0.05,324,9.836,35,21.81,0.529560198,-80.01474567,-80.30649928,95.14720273,2150.2,810.2890997,900.325,755.0243794,1000.005,-151.0966004,-1.287597146,7.325731502,0.529560198,1249.875,37.91625466,37503,-2.755563161,748.8531555
20200218-9-scan-80,20200218,flna,9,scan-80,11,40,0.95,0.05,317,9.574,50,20.82,4.410954604,-80.01134994,-80.30419108,83.54570143,940.28,677.2899101,900.285,714.3159686,998.885,-18.13923677,1.807114601,3.586253601,4.410954604,39.995,19.73838261,7245,518.8771253,672.7828385
20200218-10-scan-80,20200218,flna,10,scan-80,16,40,0.95,0.05,0,7.813,50,32.55,0.800181404,-80.01458337,-80.30781941,82.99982803,2150.2,581.0671448,900.005,626.8093769,1203.845,-99.99555467,-1.285215208,6.484329449,0.800181404,1250.195,33.70686246,37503,-0.633840629,626.8052677
