,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope
0,20190917-1-scan-80,20190917,mtraak,1,scan-80,5,40,0.82,0.05,332,8.8,20,33.44,-0.000885213,-0.170166549,-0.169366771,325.3796445,651,293.7447249,650.485,254.5789126,747.285,192.2323088,-1.906121936,4.252110894,0.515,23.16667641,4391,97.04570169,92.82667026,2.467
1,20190918-1-scan-80,20190918,mtraak,1,scan-80,7,40,0.86,0.05,0,6.8,40,19.78,-0.003403248,-0.171265204,-0.170740528,2005.249228,651,663.4532094,650.285,791.7963918,747.885,50.32403858,-1.771605643,4.89757288,0.715,26.25947004,3807,180.1841631,139.492061,7.398
2,20190918-2-scan-80,20190918,mtraak,2,scan-80,9,40,0.86,0.05,318,3.2,40,23.84,-0.000568285,-0.171964347,-0.171057741,624.8741437,651.16,395.6374412,649.805,534.8535858,744.645,302.6024518,-8.403233915,9.837494433,1.355,57.59070608,3663,91.29408232,75.18686258,1.122
3,20190918-3-scan-80,20190918,mtraak,3,scan-80,11,40,0.75,0.04,321,6.7,55,19.85,-0.013922715,-0.170154065,-0.169206916,761.3216792,645.36,132.8968701,645.005,213.2204831,748.405,12.22132821,-4.083793577,4.017872999,0.355,24.17315857,4331,74.9404957,101.0938374,8.041
4,20191001-1-scan-80,20191001,mtraak,1,scan-80,6,40,1.03,0.06,316,4.08,0,30.07,-0.000504152,-0.178855905,-0.177192191,654.8961006,650.36,316.8146652,650.405,473.8033011,745.805,354.7659204,-6.523900841,12.04053321,-0.045,66.72656691,3642,76.45197705,83.62343666,1.466
5,20191001-2-scan-80,20191001,mtraak,2,scan-80,6,40,1.03,0.06,318,4.9,0,27.8,-0.000646651,-0.180741095,-0.177816626,121.9240174,650.96,374.1810121,649.805,491.9519929,742.125,279.5033739,-25.50198408,7.014113631,1.155,60.57255223,4720,298.1272616,324.5881783,0.376
6,20191002-2-scan-80,20191002,mtraak,2,scan-80,3,40,1.15,0.07,322,4.7,50,35.03,-0.000430169,-0.184910987,-0.183648849,676.9903426,650.64,416.6314162,649.805,476.7890913,749.805,429.8567154,-27.71407694,12.79950076,0.835,91.71158072,4361,182.1410715,174.0254468,2.04
7,20191003-1-scan-80,20191003,mtraak,1,scan-80,4,40,1.09,0.07,314,3.5,55,25.92,-0.000889959,-0.178094338,-0.176790055,191.625006,650.64,475.3378543,649.805,704.2943833,746.005,200.1151066,-5.6249062,10.50575276,0.835,58.15367001,4626,356.6243204,419.2839771,0.367
8,20191003-2-scan-80,20191003,mtraak,2,scan-80,3,40,1.09,0.07,319,7.1,50,25.6,-0.00050026,-0.174686013,-0.174267337,210.2956353,651.36,253.7118945,649.805,338.8321248,745.805,349.1902668,-30.17178123,8.458790468,1.555,72.46573357,4660,188.6574746,209.0465982,0.935
9,20191003-3-scan-80,20191003,mtraak,3,scan-80,12,40,1.09,0.07,328,3.9,60,26.59,-0.000703328,-0.178643665,-0.176128154,65.00230846,902.96,633.4699694,650.205,593.5674397,746.125,253.9975446,-10.06674407,8.191959635,252.755,51.02654225,11321,0.679876872,542.5408725,-0.04
